expectativas
8.100
7.700
7.800
7.500
6.900
7.000
6.900
6.500
6.700
6.300
6.900
6.400
6.300
5.800
5.700
5.700
5.700
5.700
5.300
5.200
5.700
5.700
4.800
4.900
5.200
6.000
6.400
5.500
5.600
5.800
6.400
6.700
6.200
6.800
7.200
7.400
6.900
6.700
6.700
6.700
6.500
6.700
6.700
6.800
6.500
6.600
6.300
6.500
6.300
6.000
6.100
6.300
6.400
7.000
7.000
5.900
6.000
6.000
6.000
6.100
6.000
5.900
6.000
6.200
6.400
6.600
6.800
6.600
7.000
6.800
6.700
6.800
6.900
7.000
6.900
6.700
6.500
6.600
6.400
6.400
6.300
6.400
6.200
6.400
6.300
6.300
6.500
6.400
6.300
6.900
6.900
7.000
7.200
7.200
7.200
7.000
7.100
7.100
7.200
7.100
7.300
7.200
7.200
7.500
7.200
7.400
7.200
7.200
7.300
7.500
7.500
7.400
7.200
7.900
8.400
8.800
8.900
9.200
9.700
10.000
10.000
10.000
10.100
11.000
11.300
11.400
11.100
10.700
10.300
10.500
10.000
9.800
9.800
9.100
9.200
9.100
7.900
7.600
7.500
7.500
7.100
6.900
6.900
6.300
6.700
6.400
5.900
5.800
5.400
5.400
5.300
5.000
5.300
5.200
5.400
5.700
5.600
5.700
5.600
5.400
5.000
4.900
5.100
5.300
5.400
5.400
5.300
5.100
5.100
4.900
4.800
4.800
5.000
5.000
4.800
5.100
4.800
4.800
4.500
4.300
4.700
4.600
4.800
5.200
5.300
5.300
5.600
5.700
5.900
6.100
6.700
6.900
7.800
9.000
10.000
10.100
9.900
10.200
10.200
10.600
11.200
11.300
11.400
10.500
9.900
9.300
8.700
8.800
8.600
8.300
7.800
8.300
8.200
7.700
7.500
7.300
7.300
7.500
7.500
7.000
6.900
6.800
6.600
6.300
6.400
6.400
6.400
6.300
6.000
6.100
6.500
6.300
6.800
6.600
6.600
6.400
6.600
6.700
6.900
6.500
6.100
6.300
